java_file,rust_file,target_crate,rust_type,capability,status,test_evidence,source_commit
sa-token-demo/sa-token-demo-caffeine/src/main/java/com/pj/current/GlobalException.java,crates/sa-token-demo/sa-token-demo-suite/src/source/sa-token-demo-caffeine/com/pj/current/global_exception.rs,sa-token-demo-suite,GlobalException,demo,planned,,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-caffeine/src/main/java/com/pj/test/LoginController.java,crates/sa-token-demo/sa-token-demo-suite/src/source/sa-token-demo-caffeine/com/pj/test/login_controller.rs,sa-token-demo-suite,LoginController,demo,planned,,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/SaTokenCaseApplication.java,crates/sa-token-demo/sa-token-demo-axum-case/src/main.rs,sa-token-demo-axum-case,SaTokenCaseApplication,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/more/SaCheckELController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/util.rs,sa-token-demo-axum-case,SaCheckELController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/plugin/TempTokenController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/util/ajax_json.rs,sa-token-demo-axum-case,TempTokenController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/test/TestController.java,crates/sa-token-demo/sa-token-demo-actix-case/src/main.rs,sa-token-demo-actix-case,TestController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/up/DisableController.java,crates/sa-token-demo/sa-token-demo-actix-case/src/util.rs,sa-token-demo-actix-case,DisableController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/up/HttpBasicController.java,crates/sa-token-demo/sa-token-demo-actix-case/src/util/ajax_json.rs,sa-token-demo-actix-case,HttpBasicController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/up/MutexLoginController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_up_mutex_login_controller.rs,sa-token-demo-axum-case,MutexLoginController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/up/NotCookieController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_up_not_cookie_controller.rs,sa-token-demo-axum-case,NotCookieController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
